,Synset,Glosa
342,100091893,
343,100091977,None
344,100092212,
345,100092366,
346,100092663,
347,100092847,
348,100093006,
349,100093127,
350,100093354,None
351,100093483,
352,100093874,
353,100094001,
354,100094240,
355,100094500,None
356,100094788,
357,100094954,
358,100095121,
359,100095329,
360,100095502,
361,100095873,
362,100095971,
363,100096211,
364,100096343,None
365,100096513,
366,100096720,
367,100096851,
368,100096969,
369,100097122,
370,100097244,
371,100097348,
372,100097504,
373,100097923,
374,100098051,None
375,100098385,
376,100098625,zerbitzari baten jardutea
377,100098822,None
378,100098939,
379,100099061,None
380,100099267,
381,100099439,
382,100099588,
383,100099799,
384,100099951,
385,100100253,
386,100100437,
387,100100543,
388,100100889,
389,100101003,None
390,100101191,
391,100101410,
392,100101570,None
393,100101708,None
394,100101809,None
395,100102039,None
396,100102162,None
397,100102374,
398,100102457,
399,100102779,None
400,100102927,
401,100103140,
402,100103291,
403,100103419,
404,100103590,
405,100103737,
406,100103834,
407,100104088,
408,100104249,
409,100104409,
410,100104539,
411,100104976,
412,100105164,
413,100105271,
414,100105479,
415,100105624,None
416,100105820,
417,100106104,
418,100106272,
419,100106726,None
420,100106888,
421,100107016,
422,100107137,
423,100107279,
424,100107400,
425,100107551,
426,100107684,
427,100107875,
428,100108081,
429,100108181,
430,100108427,
431,100108545,None
432,100108665,None
433,100108818,
434,100108965,
435,100109081,
436,100109227,None
437,100109414,
438,100109771,
439,100109892,
440,100110057,
441,100110415,
442,100110554,
443,100110745,
444,100110834,
445,100110964,
446,100111222,
447,100111358,
448,100111503,
449,100111660,
450,100111839,
451,100111962,
452,100112072,
453,100112185,
454,100112312,
455,100112674,
456,100112828,
457,100112997,
458,100113113,zerbait sakatu edo estutzearen ekintza
459,100113532,None
460,100113726,
461,100113954,
462,100114095,
463,100114298,
464,100114431,
465,100114871,
466,100115036,
467,100115292,
468,100115500,
469,100115667,
470,100115803,None
471,100116008,
472,100116122,None
473,100116376,
474,100116687,
475,100116989,None
476,100117124,
477,100117267,
478,100117578,urdailetik datorren eta ahotik modu zaratatsuan ateratzen den airea
479,100117810,
480,100117959,
481,100118268,None
482,100118445,
483,100118552,
484,100118733,
485,100119079,None
486,100119210,None
487,100119297,None
488,100119402,None
489,100119568,
490,100119893,
491,100120010,
492,100120202,
493,100120515,
494,100120647,
495,100120804,
496,100120943,
497,100121166,
498,100121366,
499,100121645,
500,100121904,None
501,100122106,None
502,100122338,
503,100122530,
504,100122661,su-armak jaurtigaia jaurtitzea
505,100122954,
506,100123143,
507,100123234,
508,100123430,
509,100123652,
510,100123783,
511,100124008,None
512,100124151,None
513,100124256,
514,100124342,
515,100124536,
516,100124617,
517,100124766,
518,100124880,
519,100125126,
520,100125315,
521,100125436,
522,100125629,
523,100126100,None
524,100126236,
525,100126447,
526,100126584,
527,100126721,
528,100126886,
529,100127021,
530,100127151,
531,100127286,
532,100127531,
533,100127672,
534,100127866,
535,100128091,
536,100128324,
537,100128477,
538,100128638,
539,100128867,
540,100128976,
541,100129089,
542,100129317,
543,100129435,
544,100129527,
545,100129743,None
546,100130093,
547,100130347,
548,100130512,None
549,100130673,None
550,100130846,
551,100130987,
552,100131090,
553,100131347,None
554,100131485,
555,100131608,
556,100131791,None
557,100131877,
558,100131991,
559,100132105,
560,100132219,
561,100132355,
562,100132497,
563,100132601,
564,100132756,
565,100132982,
566,100133160,None
567,100133234,
568,100133338,
569,100133567,
570,100133668,
571,100133875,None
572,100133981,
573,100134099,
574,100134246,
575,100134391,
576,100134472,
577,100134574,
578,100134780,
579,100135148,
580,100135311,
581,100135504,
582,100135637,
583,100135799,
584,100135952,
585,100136048,
586,100136152,None
587,100136230,
588,100136329,
589,100136691,
590,100136876,
591,100136984,
592,100137279,
593,100137534,
594,100137709,
595,100137877,
596,100138078,
597,100138221,
598,100138441,
599,100138599,
600,100138734,
601,100138799,
602,100138956,
603,100139544,
604,100139758,
605,100139919,
606,100140112,
607,100140264,
608,100140393,
609,100140652,
610,100140900,
611,100141027,None
612,100141176,None
613,100141396,
614,100141669,None
615,100141806,
616,100142140,None
617,100142361,"adinaren eta sexuaren arabera egiten diren osasun test desberdinak, mediku ikuskapena"
618,100142665,
619,100143057,None
620,100143251,
621,100143536,
622,100143626,
623,100143763,None
624,100143885,
625,100144182,None
626,100144445,
627,100144632,
628,100144778,
629,100145024,
630,100145218,
631,100145779,None
632,100145929,
633,100146111,
634,100146277,
635,100146443,
636,100146572,
637,100146856,
638,100147091,
639,100147187,
640,100147314,
641,100147454,
642,100147595,
643,100147862,
644,100148057,
645,100148242,
646,100148446,
647,100148653,
648,100148762,
649,100148836,
650,100148978,
651,100149084,
652,100149262,
653,100149508,
654,100149699,
655,100149895,None
656,100150097,None
657,100150228,None
658,100150379,
659,100150591,
660,100150762,
661,100150932,None
662,100151087,
663,100151314,
664,100151409,
665,100151497,
666,100151914,
667,100152018,
668,100152230,
669,100152338,
670,100152519,None
671,100152727,
672,100152990,
673,100153105,
674,100153288,None
675,100153499,None
676,100153665,
677,100153809,"arazo, auzi edota bestelako egoera korapilatsuei bukaera emateko modua"
678,100153961,
679,100154233,
680,100154433,
681,100154689,
682,100154894,
683,100155085,
684,100155298,
685,100155487,
686,100155797,
687,100155970,None
688,100156119,None
689,100156293,
690,100156390,
691,100156625,
692,100156812,
693,100157081,zerbaitek edo norbaitek beste zerbaitetan edo norbaitengan ondoren bat eragitea
694,100157318,
695,100157463,
696,100157687,None
697,100157877,None
698,100157957,
699,100158185,"norberaren edo besteren interesen mesedetan, zerbait nahiz norbait norberari komeni zaion eran erabili edo aldatzea"
700,100158443,None
701,100158805,None
702,100158996,
703,100159177,
704,100159396,None
705,100159620,
706,100159899,
707,100160073,None
708,100160297,
709,100160415,
710,100160532,
711,100160688,
712,100160922,None
713,100161044,
714,100161243,
715,100161603,
716,100161739,None
717,100161888,
718,100162055,
719,100162236,None
720,100162417,
721,100162632,auzitan edo zalantzatan dagoenari buruz erabateko asmoa hartu edo iritzia ematea
722,100163047,
723,100163233,None
724,100163406,
725,100163630,None
726,100163779,
727,100164152,
728,100164345,
729,100164579,
730,100164801,
731,100164999,
732,100165178,
733,100165298,
734,100165563,None
735,100165793,
736,100165942,zerbait egiteko erabakia hartzea
737,100166172,
738,100166355,xake-pieza bat mugitzea
739,100166552,
740,100166702,
741,100166865,None
742,100167063,None
743,100167278,None
744,100167446,
745,100167580,
746,100167764,
747,100167950,
748,100168121,
749,100168237,
750,100168505,
751,100168658,
752,100168911,
753,100169047,None
754,100169147,None
755,100169305,
756,100169522,
757,100169651,None
758,100169811,
759,100170005,None
760,100170172,None
761,100170340,
762,100170536,
763,100170643,
764,100170710,
765,100170844,
766,100171050,
767,100171249,pertsona bat erakartzeko erabiltzen den trikimailu edo tranpa
768,100171507,None
769,100171618,
770,100171882,None
771,100172073,
772,100172217,None
773,100172347,None
774,100172490,
775,100172598,
776,100172710,jomuga edo emaitza bat lortzeko era
777,100173172,
778,100173283,
779,100173487,None
780,100173761,zerbait lortzeko baliagarri den gauza
781,100174003,
782,100174127,
783,100174260,
784,100174412,helburu bat lortzeko egiten den edozein maniobra
785,100174663,
786,100174782,
787,100174950,
788,100175174,
789,100175433,
790,100175605,
791,100175875,
792,100176052,
793,100176312,
794,100176449,
795,100176609,
796,100176766,
797,100176994,
798,100177127,
799,100177448,
800,100177638,None
801,100177783,
802,100178024,None
803,100178177,None
804,100178551,
805,100178700,
806,100178832,
807,100178972,
808,100179125,
809,100179275,
810,100179380,
811,100179576,
812,100179683,
813,100179916,
814,100180054,
815,100180228,None
816,100180413,
817,100180770,
