,Synset16,PoS,Palabra,TagCount
214,1Synset Not Found,n,mecanización,45
215,100102927,n,motorización,102
216,100045250,n,propulsión,32
217,100103140,n,lanzamiento,28
218,100103834,n,empuje,507
219,100104249,n,impulso,7
220,114485990,n,lanzamiento,492
221,100105820,n,pase,141
222,114622350,n,bola,4
223,100109414,n,strike,32
224,100110964,n,tiro_libre,1
225,100111358,n,gancho,3
226,100112312,n,impulsión,1
227,100112828,n,clic,103
228,100113113,n,presión,27
229,100113726,n,empellón,1
230,100113726,n,empujón,10
231,100114298,n,codazo,19
232,100114431,n,tracción,39
233,100115036,n,transporte,65
234,100115036,n,arrastre,67
235,100115036,n,acarreo,64
236,100115500,n,tirón,46
237,100116687,n,proyección,825
238,100116687,n,expulsión,565
239,100117578,n,eructo,15
240,1Synset Not Found,n,regurgitación,20
241,100119568,n,salto,1554
242,112398526,n,brinco,10
243,100120202,n,salto,41
244,100121166,n,envío,7
245,100121366,n,transmisión,1542
246,100122661,n,disparo,1195
247,100122661,n,tiro,2081
248,100122661,n,balazo,96
249,100123234,n,descarga,69
250,100124536,n,cañoneo,22
251,100124617,n,tiroteo,213
252,107409592,n,contacto,33
253,100125126,n,frotamiento,15
254,100125629,n,golpeo,39
255,100064504,n,castaña,58
256,115274305,n,fuera,8
257,115274305,n,out,634
258,100043902,n,jit,4
259,100132982,n,triple,284
260,100133338,n,cate,7
261,100133668,n,bicoca,6
262,100133668,n,tortazo,97
263,100133668,n,manotazo,6
264,100133668,n,cachete,11
265,100133668,n,torta,110
266,100133668,n,azotaina,1
267,100133668,n,cale,6
268,100134472,n,sopapo,2
269,100134472,n,bofetón,6
270,100134574,n,latigazo,29
271,100134780,n,punch,38
272,100134780,n,puñetazo,95
273,100136329,n,puntapié,28
274,100136329,n,patada,260
275,100137279,n,saque,18
276,100137534,n,libre,86
277,100137709,n,córner,13
278,100138221,n,beso,459
279,100138956,n,cogida,19
280,100138956,n,agarrada,1
281,101078279,n,interceptación,21
282,100139919,n,recepción,7
283,100140393,n,engrane,2
284,100140393,n,trabazón,5
285,100140652,n,manejo,29
286,100141396,n,necropsia,11
287,100141396,n,autopsia,136
288,100142361,n,chequeo,51
289,100142665,n,cotejo,46
290,100142665,n,confrontación,6
291,100143251,n,revisión,76
292,100143885,n,palpación,17
293,100144632,n,caricia,25
294,100145218,n,conexión,116
295,100146572,n,convergencia,8
296,100146856,n,fusión,1433
297,100147091,n,concurrencia,1
298,100147454,n,adjunción,8
299,100147454,n,agregación,76
300,100147595,n,fijación,7
301,100148057,n,agarrotamiento,3
302,115185007,n,ligamiento,8
303,100148653,n,soldadura,6
304,100149262,n,desprendimiento,92
305,100149262,n,desenganche,2
306,100149262,n,desligamiento,4
307,100043195,n,descubrimiento,1879
308,100043195,n,hallazgo,770
309,100151087,n,detección,44
310,100151497,n,hallazgo,12
311,100151914,n,redescubrimiento,48
312,100152018,n,designación,38
313,100152727,n,diagnóstico,752
314,100152727,n,diagnosis,41
315,100153809,n,solución,1
316,100153961,n,validación,68
317,100154233,n,certificación,2
318,100154433,n,documentación,2
319,100155487,n,localización,32
320,100042311,n,causalidad,95
321,100156390,n,desencadenamiento,9
322,100156625,n,instigación,23
323,100156812,n,coacción,2
324,111414608,n,influencia,3
325,100157957,n,usurpación,70
326,100158185,n,manipulación,338
327,100158996,n,hipnotismo,14
328,100158996,n,mesmerismo,3
329,100159177,n,inducción,6
330,100159620,n,tentación,1
331,100159899,n,gitanería,1
332,100159899,n,lisonjas,1
333,100160297,n,perversión,1
334,100160532,n,seducción,134
335,107245686,n,disuasión,24
336,100161243,n,selección,195
337,100161603,n,casting,263
338,106026635,n,muestreo,88
339,100162632,n,decisión,2928
340,100163406,n,viraje,24
341,100163779,n,designación,742
342,100164152,n,nominación,922
343,100165298,n,ordenación,285
344,105090255,n,paso,6316
345,100166172,n,jugada,9
346,100166355,n,movimiento,121
347,100166552,n,enroque,22
348,100167446,n,jaque,71
349,107475035,n,jaque_mate,9
350,1Synset Not Found,n,maniobra,18
351,113778671,n,estacionamiento,379
352,100168658,n,mudanza,85
353,100171249,n,truco,21
354,100171618,n,zancadilla,7
355,100171618,n,astucia,62
356,100172073,n,amago,20
357,100172073,n,finta,19
358,100172598,n,martingala,1
359,100172598,n,treta,31
360,100172598,n,artimaña,39
361,100172598,n,ardid,24
362,100172710,n,modo,6063
363,100173283,n,evasión,13
364,100173761,n,herramienta,182
365,100174412,n,medidas,57
366,100174663,n,contramedidas,20
367,100174663,n,contramedida,56
368,100178832,n,recurso,6
369,100178832,n,improvisación,216
370,100180413,n,aceptación,664
371,100180413,n,adopción,46
372,100181373,n,reelección,320
373,100181495,n,plebiscito,140
374,100181640,n,referéndum,341
375,100181640,n,referendo,54
376,100181781,n,elección,7904
377,100182213,n,voto,3311
378,100182435,n,elecciones_generales,25
379,100182571,n,elecciones_primarias,105
380,100182571,n,primarias,107
381,107407272,n,desempate,105
382,100183505,n,votación,872
383,100044673,n,nivelación,48
384,100044673,n,igualación,10
385,100044900,n,exhumación,47
386,114491034,n,tanto,319
387,108517449,n,diana,5
388,100189257,n,touchdown,21
389,100189565,n,carrera,603
390,113859043,n,cambio,69
391,100192300,n,simplificación,10
392,100192613,n,ahorro,438
393,100193225,n,acomodación,20
394,100194414,n,decimalización,1
395,100194969,n,variación,8
396,114575180,n,diversificación,114
397,100196084,n,cambio,15
398,100196485,n,sustitución,13
399,100197772,n,reemplazo,635
400,100197610,n,suplantación,30
401,107249817,n,promoción,38
402,100198793,n,descenso,22
403,100199707,n,modificación,9
404,100201058,n,transición,1161
405,100202284,n,resistencia,864
406,113937554,n,rechazo,130
407,100203753,n,sorteo,227
408,100203753,n,evitación,21
409,100204199,n,escapatoria,19
410,100204439,n,abandono,64
411,100204814,n,apostasía,13
412,100205079,n,renuncia,749
413,100205891,n,pérdida,28
414,100206130,n,boicot,88
415,100206130,n,boicoteo,96
416,100206302,n,destierro,166
417,100206927,n,exclusión,6
418,114427633,n,ostracismo,49
419,100207761,n,exilio,1184
420,100207761,n,deportación,144
421,100207761,n,expatriación,8
422,114413993,n,excomunión,75
423,100208521,n,relegación,12
424,100208797,n,desposeimiento,3
425,100208943,n,deposición,10
426,100208943,n,destronamiento,11
427,105198928,n,veto,66
428,100209943,n,finalización,215
429,100211110,n,culminación,153
430,107454758,n,graduación,134
431,107254836,n,renuncia,5
432,100213052,n,cesión,48
433,100213186,n,entrega,11
434,100213343,n,entrega,118
435,100213482,n,extradición,76
436,100213694,n,renuncia,8
437,100213903,n,inmunidad,214
438,100213903,n,dispensa,43
439,100215683,n,derrocamiento,150
440,100215838,n,golpe_de_estado,2
441,100095502,n,cese,247
442,100095502,n,destitución,146
443,100095502,n,despido,232
444,100217014,n,destrucción,57
445,100217014,n,devastación,99
446,114476290,n,desastre,12
447,100218208,n,aniquilación,42
448,100219012,n,homicidio,258
449,100219012,n,matanza,481
450,100219856,n,eutanasia,55
451,100220023,n,asesinato,2372
452,110401204,n,parricidio,12
453,110302816,n,matricidio,5
454,114759275,n,caída,1
455,100227969,n,inmolación,10
456,100222485,n,suicidio,541
457,100223362,n,harakiri,6
458,100223720,n,eliminación,13
459,100223854,n,matanza,5
460,100223854,n,carnicería,95
461,100224260,n,masacre,585
462,100224599,n,linchamiento,26
463,114512674,n,envenenamiento,112
464,110516422,n,regicidio,15
465,114043882,n,asfixia,2
466,114043882,n,ahogo,6
467,100225786,n,estrangulación,20
468,100225786,n,estrangulamiento,28
469,100227595,n,sacrificio,867
470,100227848,n,hecatombe,1
471,100227969,n,inmolación,1
472,100228283,n,abolición,315
473,100228535,n,liquidación,25
474,100229260,n,clausura,616
475,100229934,n,extinción,28
476,114261508,n,aborto,268
477,100230475,n,mortinato,2
478,106185748,n,anulación,79
479,100231887,n,derogación,60
480,100231887,n,abrogación,5
481,107207142,n,cancelación,244
482,100232863,n,rescisión,42
483,100233614,n,desactivación,29
484,100234423,n,neutralización,35
485,100235435,n,apertura,2206
486,1Synset Not Found,n,fundación,645
487,1Synset Not Found,n,instauración,137
488,100240938,n,instalación,104
489,100241699,n,inicio,12
490,100237078,n,constitución,2407
491,100237078,n,fundación,3048
492,100242583,n,sindicalización,6
493,1Synset Not Found,n,primicia,35
494,1Synset Not Found,n,introducción,1784
495,1Synset Not Found,n,lanzamiento,2121
496,1Synset Not Found,n,debut,3211
497,100243373,n,inauguración,902
498,100239230,n,iniciativa,1740
499,100236581,n,ascenso,31
500,100086809,n,ocupación,69
501,100236821,n,activación,288
502,100242003,n,reinicio,38
503,100242003,n,reanudación,66
504,100243918,n,cocción,104
505,100247792,n,ebullición,81
506,100248534,n,salazón,98
507,100248534,n,saladura,1
508,114422179,n,mejoramiento,1780
509,114422179,n,mejora,1558
510,100249501,n,progreso,862
511,100249501,n,adelanto,209
512,100249780,n,evolución,12
513,113489037,n,desarrollo,378
514,100250710,n,elaboración,199
515,100251013,n,limpieza,526
516,100251013,n,lavado,178
517,100252307,n,barrido,38
518,1Synset Not Found,n,purga,98
519,100252662,n,depuración,110
520,100252894,n,purificación,4
521,113548105,n,purificación,108
522,100253395,n,catarsis,21
523,100253919,n,esterilización,7
524,100254166,n,pasteurización,15
525,100254166,n,pasterización,1
526,100254769,n,afeitado,12
527,100255214,n,lavatorio,19
528,100255214,n,ablución,15
529,100255710,n,colada,52
530,100256407,n,aclarado,1
531,100396642,n,enjuague,7
532,100396642,n,aclarado,23
533,115164750,n,baño,1
534,100258695,n,friega,1
535,1Synset Not Found,n,rectificación,35
536,1Synset Not Found,n,corrección,34
537,113300828,n,retribución,1
538,100259643,n,compensación,14
539,114462666,n,perfeccionamiento,166
540,106706676,n,decoración,16
541,100262743,n,ornamentación,307
542,106758698,n,escaparatismo,2
543,106805497,n,tatuaje,210
544,100264775,n,humanización,20
545,100264913,n,modernización,430
546,100265119,n,renovación,739
547,100265992,n,realce,3
548,100266645,n,ventilación,296
549,1Synset Not Found,n,arreglo,1141
550,1Synset Not Found,n,compostura,14
551,1Synset Not Found,n,remiendo,2
552,1Synset Not Found,n,reparación,717
553,100267522,n,mantenimiento,1530
554,1Synset Not Found,n,reglaje,9
555,1Synset Not Found,n,revisión,660
556,114424517,n,renovación,4
557,107174138,n,reconstrucción,1128
558,100270186,n,reedificación,47
559,100271263,n,degradación,263
560,100271636,n,deshumanización,11
561,100271879,n,animalización,1
562,114561102,n,corrupción,12
563,100273077,n,vulgarización,7
564,100273449,n,humillación,128
565,100273877,n,blanqueo,37
566,100275424,n,tintura,42
567,100275424,n,tinte,16
568,100275424,n,tinta,239
569,100275424,n,teñido,23
570,100275572,n,tinción,51
571,100276620,n,ensuciamiento,6
572,100276987,n,polución,56
573,100394485,n,descontaminación,31
574,100277569,n,inmersión,149
575,100277811,n,remojo,1
576,113505843,n,riego,654
577,100278555,n,aspersión,21
578,100692130,n,esterilización,48
579,100692349,n,castración,58
580,100692349,n,emasculación,2
581,100278810,n,masticación,27
582,113460034,n,defoliación,7
583,100279835,n,traslado,811
584,100279835,n,desplazamiento,810
585,100280853,n,acercamiento,48
586,106354204,n,acceso,384
587,1Synset Not Found,n,progresión,177
588,1Synset Not Found,n,adelantamiento,55
589,100282613,n,carrera,913
590,100282840,n,marcha,5
591,100283127,n,locomoción,65
592,100283568,n,andar,53
593,100283568,n,andadura,245
594,100283568,n,caminar,9
595,100284798,n,paseo,999
596,100285141,n,sonambulismo,10
597,114429608,n,paso,29
598,100285889,n,zancada,18
