,Synset16,PoS,Palabra,TagCount
221,00086637,n,cale,2
222,00086637,n,torta,10
223,00087268,n,latigazo,6
224,00087361,n,punch,5
225,00087361,n,puñetazo,18
226,00088506,n,patada,48
227,00088506,n,puntapié,6
228,00089324,n,saque,2
229,00089520,n,libre,12
230,00090133,n,beso,73
231,00090742,n,cogida,3
232,00091213,n,interceptación,2
233,00091785,n,trabazón,2
234,00091972,n,manejo,6
235,00092400,n,necropsia,2
236,00092400,n,autopsia,11
237,00092823,n,chequeo,4
238,00093090,n,confrontación,2
239,00093090,n,cotejo,3
240,00093268,n,revisión,12
241,00093956,n,caricia,3
242,00094409,n,conexión,9
243,00095235,n,fusión,205
244,00095779,n,agregación,12
245,00095872,n,fijación,2
246,00096382,n,ligamiento,1
247,00096699,n,soldadura,1
248,00097160,n,desprendimiento,11
249,00098007,n,descubrimiento,280
250,00098007,n,hallazgo,101
251,00098205,n,detección,7
252,00098771,n,redescubrimiento,5
253,00098857,n,designación,10
254,00099234,n,diagnosis,8
255,00099234,n,diagnóstico,92
256,00099890,n,validación,9
257,00101111,n,localización,4
258,00101562,n,causalidad,11
259,00101756,n,desencadenamiento,1
260,00101901,n,instigación,1
261,00102821,n,usurpación,11
262,00102995,n,manipulación,54
263,00103181,n,hipnotismo,2
264,00103784,n,lisonjas,1
265,00104028,n,perversión,1
266,00104245,n,seducción,13
267,00104728,n,disuasión,7
268,00104850,n,selección,29
269,00105129,n,casting,43
270,00105247,n,muestreo,7
271,00105760,n,decisión,438
272,00106179,n,viraje,4
273,00106381,n,designación,156
274,00106665,n,nominación,193
275,00107544,n,ordenación,73
276,00107819,n,paso,945
277,00108157,n,movimiento,10
278,00108354,n,enroque,5
279,00108577,n,jaque,9
280,00109256,n,maniobra,4
281,00109535,n,estacionamiento,69
282,00109670,n,mudanza,15
283,00111216,n,truco,1
284,00111383,n,astucia,6
285,00111383,n,zancadilla,1
286,00111557,n,finta,6
287,00111557,n,amago,5
288,00111760,n,treta,5
289,00111760,n,ardid,3
290,00111760,n,artimaña,4
291,00111872,n,modo,887
292,00112413,n,evasión,2
293,00112599,n,herramienta,29
294,00113217,n,medidas,5
295,00113406,n,contramedida,4
296,00115902,n,recurso,2
297,00116556,n,improvisación,55
298,00117820,n,adopción,6
299,00117820,n,aceptación,104
300,00118483,n,reelección,44
301,00118587,n,plebiscito,23
302,00118732,n,referéndum,52
303,00118732,n,referendo,3
304,00118873,n,elección,1141
305,00119067,n,voto,529
306,00119253,n,elecciones_generales,8
307,00119389,n,primarias,3
308,00120175,n,desempate,14
309,00120305,n,votación,124
310,00121287,n,igualación,1
311,00121287,n,nivelación,21
312,00121704,n,exhumación,5
313,00122416,n,tanto,53
314,00122890,n,diana,1
315,00124068,n,touchdown,3
316,00124616,n,carrera,89
317,00125689,n,cambio,8
318,00126290,n,simplificación,3
319,00126393,n,ahorro,78
320,00126907,n,acomodación,5
321,00128096,n,variación,2
322,00128403,n,diversificación,22
323,00128676,n,cambio,4
324,00128951,n,sustitución,2
325,00129213,n,reemplazo,102
326,00129660,n,suplantación,7
327,00130078,n,promoción,5
328,00130362,n,descenso,7
329,00131083,n,modificación,2
330,00131763,n,transición,178
331,00132311,n,resistencia,119
332,00133315,n,rechazo,20
333,00133654,n,evitación,4
334,00133654,n,sorteo,67
335,00133939,n,escapatoria,3
336,00134056,n,abandono,14
337,00134359,n,apostasía,5
338,00134568,n,renuncia,116
339,00135125,n,pérdida,3
340,00135310,n,boicot,18
341,00135310,n,boicoteo,19
342,00135464,n,destierro,18
343,00135765,n,exclusión,1
344,00135937,n,ostracismo,10
345,00136174,n,exilio,172
346,00136174,n,deportación,20
347,00136307,n,excomunión,15
348,00136477,n,relegación,3
349,00136632,n,desposeimiento,1
350,00136760,n,deposición,2
351,00136760,n,destronamiento,1
352,00137092,n,veto,6
353,00137299,n,finalización,28
354,00138106,n,culminación,20
355,00138540,n,graduación,21
356,00139061,n,renuncia,2
357,00139216,n,cesión,10
358,00139314,n,entrega,1
359,00139453,n,entrega,17
360,00139574,n,extradición,21
361,00139768,n,renuncia,1
362,00139905,n,inmunidad,20
363,00139905,n,dispensa,6
364,00140364,n,derrocamiento,18
365,00140501,n,golpe_de_estado,1
366,00140714,n,despido,29
367,00140714,n,destitución,26
368,00140714,n,cese,44
369,00141128,n,devastación,10
370,00141128,n,destrucción,5
371,00141958,n,aniquilación,8
372,00142607,n,homicidio,35
373,00142607,n,matanza,50
374,00143297,n,eutanasia,17
375,00143589,n,asesinato,397
376,00144191,n,parricidio,2
377,00144309,n,matricidio,2
378,00144739,n,suicidio,103
379,00145201,n,harakiri,4
380,00145467,n,eliminación,3
381,00145676,n,carnicería,14
382,00145676,n,matanza,2
383,00145813,n,masacre,108
384,00145929,n,linchamiento,5
385,00146041,n,envenenamiento,19
386,00146677,n,asfixia,1
387,00146798,n,estrangulamiento,5
388,00146798,n,estrangulación,6
389,00147781,n,sacrificio,146
390,00147961,n,hecatombe,1
391,00148356,n,abolición,56
392,00148447,n,liquidación,5
393,00148822,n,clausura,75
394,00149317,n,extinción,3
395,00149581,n,aborto,42
396,00150748,n,anulación,15
397,00150989,n,derogación,3
398,00150989,n,abrogación,1
399,00151154,n,cancelación,52
400,00151517,n,rescisión,9
401,00152626,n,neutralización,10
402,00153241,n,apertura,355
403,00153747,n,fundación,99
404,00153747,n,instauración,21
405,00153919,n,instalación,11
406,00154220,n,inicio,2
407,00154800,n,constitución,341
408,00154800,n,fundación,455
409,00155548,n,debut,562
410,00155548,n,lanzamiento,354
411,00155548,n,primicia,6
412,00155548,n,introducción,271
413,00155916,n,inauguración,172
414,00156102,n,iniciativa,258
415,00156550,n,ascenso,4
416,00156789,n,ocupación,5
417,00156897,n,activación,71
418,00157011,n,reinicio,9
419,00157011,n,reanudación,6
420,00157100,n,cocción,13
421,00158465,n,ebullición,15
422,00158979,n,salazón,4
423,00159157,n,mejoramiento,245
424,00159157,n,mejora,209
425,00159609,n,adelanto,32
426,00159609,n,progreso,144
427,00159874,n,evolución,1
428,00160202,n,desarrollo,65
429,00160599,n,elaboración,23
430,00160717,n,limpieza,84
431,00160717,n,lavado,23
432,00161640,n,barrido,5
433,00161727,n,purga,9
434,00161941,n,depuración,19
435,00162229,n,purificación,20
436,00162325,n,catarsis,3
437,00163002,n,pasteurización,1
438,00163002,n,pasterización,1
439,00163357,n,afeitado,3
440,00163599,n,lavatorio,1
441,00163875,n,colada,6
442,00164474,n,aclarado,2
443,00166347,n,rectificación,2
444,00166347,n,corrección,4
445,00166954,n,compensación,3
446,00167086,n,perfeccionamiento,26
447,00168201,n,decoración,1
448,00168605,n,ornamentación,35
449,00169150,n,tatuaje,44
450,00169960,n,humanización,4
451,00170063,n,modernización,70
452,00170245,n,renovación,91
453,00171095,n,ventilación,61
454,00171220,n,reparación,101
455,00171220,n,arreglo,190
456,00171220,n,compostura,1
457,00171721,n,mantenimiento,213
458,00172275,n,revisión,94
459,00172275,n,reglaje,3
460,00173090,n,reconstrucción,139
461,00173345,n,reedificación,7
462,00174193,n,degradación,38
463,00174476,n,deshumanización,2
464,00175090,n,corrupción,3
465,00175490,n,vulgarización,2
466,00175673,n,humillación,25
467,00176075,n,blanqueo,8
468,00176936,n,tintura,2
469,00176936,n,tinta,29
470,00176936,n,tinte,1
471,00176936,n,teñido,1
472,00177066,n,tinción,21
473,00177916,n,polución,4
474,00178251,n,descontaminación,2
475,00178533,n,inmersión,26
476,00178992,n,riego,75
477,00179126,n,aspersión,3
478,00179219,n,esterilización,10
479,00179384,n,castración,5
480,00179743,n,masticación,2
481,00180135,n,defoliación,2
482,00180278,n,traslado,135
483,00180278,n,desplazamiento,114
484,00181376,n,acercamiento,7
485,00181619,n,acceso,61
486,00182418,n,progresión,25
487,00182418,n,adelantamiento,40
488,00182783,n,carrera,172
489,00182992,n,marcha,2
490,00183279,n,locomoción,3
491,00183648,n,andar,8
492,00183648,n,andadura,30
493,00183648,n,caminar,2
494,00184167,n,paseo,159
495,00184505,n,sonambulismo,1
496,00184779,n,paso,1
497,00185003,n,zancada,1
498,00185238,n,quite,5
499,00185578,n,cojera,1
500,00186660,n,doma,2
501,00187201,n,galope,6
502,00187446,n,vuelta,575
503,00187619,n,caminata,21
504,00187997,n,contoneo,1
505,00188189,n,estocada,3
506,00188553,n,marcha,337
507,00190535,n,carrera,4
508,00190909,n,sprint,6
509,00191288,n,arrastramiento,1
510,00191531,n,vuelta,35
511,00191846,n,desplazamiento,5
512,00192282,n,circunnavegación,3
513,00192460,n,peregrinación,39
514,00192663,n,vagabundeo,1
515,00192663,n,andanzas,1
516,00192806,n,divagación,1
517,00192898,n,cruce,1
518,00193359,n,travesía,1
519,00193637,n,conducción,107
520,00193791,n,equitación,9
521,00194802,n,aviación,90
522,00195002,n,vuelo,57
523,00195810,n,vuelo,490
524,00196489,n,planeo,2
525,00196842,n,paracaidismo,5
526,00198146,n,amerizaje,8
527,00198579,n,viaje,822
528,00199416,n,largo_recorrido,4
529,00199551,n,odisea,17
530,00199642,n,viaje,5
531,00200009,n,trayecto,61
532,00200113,n,vuelta,7
533,00200199,n,travesía,1
534,00200777,n,expedición,87
535,00201036,n,safari,18
536,00201174,n,exploración,1
537,00201629,n,circuito,211
538,00201629,n,tour,170
539,00202033,n,peregrinaje,11
540,00202291,n,excursión,42
541,00202953,n,ruta,5
542,00203046,n,travesía,41
543,00203158,n,crucero,219
544,00203250,n,travesía,4
545,00204151,n,navegación,12
546,00204287,n,cabotaje,3
547,00204553,n,transferencia,129
548,00204553,n,transporte,420
549,00204841,n,transbordo,8
550,00204841,n,trasbordo,2
551,00204953,n,correspondencia,12
552,00205135,n,distribución,1404
553,00205732,n,entrega,1
554,00206677,n,seguimiento,73
555,00206677,n,perseguimiento,44
556,00206677,n,persecución,19
557,00206842,n,rastreo,19
558,00207301,n,inserción,43
559,00207683,n,instilación,1
560,00208049,n,embalaje,12
561,00208980,n,infusión,7
562,00209166,n,transfusión,30
563,00209307,n,perfusión,4
564,00209440,n,subida,29
565,00209440,n,ascensión,51
566,00209737,n,trepada,1
567,00209737,n,escalada,37
568,00210212,n,alpinismo,5
569,00210212,n,montañismo,6
570,00210530,n,descenso,1
571,00211534,n,vaivén,6
572,00211639,n,regreso,27
573,00211817,n,reentrada,2
574,00211817,n,reingreso,2
575,00212053,n,desliz,3
576,00212053,n,deslizamiento,11
577,00212160,n,resbalón,1
578,00212248,n,corriente,64
579,00212399,n,derrame,20
580,00212509,n,inundación,160
581,00212509,n,desbordamiento,17
582,00212509,n,riada,16
583,00213518,n,movimiento,827
584,00214772,n,disturbio,58
585,00217325,n,reorganización,1
586,00217569,n,reordenación,6
587,00217734,n,permutación,1
588,00217846,n,inversión,247
589,00217846,n,transposición,3
590,00219234,n,rotación,126
591,00219627,n,giro,1
592,00219840,n,pirueta,4
593,00220085,n,cerramiento,42
594,00220340,n,pose,5
595,00220762,n,vuelta,5
596,00220931,n,vuelta,5
597,00221734,n,temblor,23
598,00221734,n,vibración,43
599,00222172,n,vuelta,1
600,00222304,n,revés,3
601,00223056,n,meneo,1
602,00224643,n,giro,79
603,00224903,n,digresión,3
604,00224903,n,desviación,1
605,00225760,n,disminución,114
606,00225760,n,reducción,188
607,00227536,n,recorte,1
608,00228188,n,alivio,31
609,00228188,n,mitigación,4
610,00228800,n,tranquilidad,1
611,00228920,n,minimización,2
612,00229211,n,consumo,144
613,00229544,n,compresión,11
614,00229958,n,descompresión,3
615,00230070,n,condensación,8
616,00230206,n,compactación,1
617,00230299,n,crujido,2
618,00230410,n,molienda,8
619,00230520,n,extrusión,5
620,00230790,n,abreviación,14
621,00230893,n,recorte,117
622,00230893,n,corte,91
