abençoar	2	por-30-00867231-v	v	52.3649	triangulation pt/en/	------
abençoar	3	por-30-02264075-v	v	52.3649	triangulation pt/en/	------
aberração	1	por-30-14501726-n	n	75	WEB API	------
aberta	1	por-30-14483917-n	n	75	WEB API	------
abertamente	1	por-30-00039318-r	r	75	WEB API	------
abertamente	1	por-30-00053394-r	r	71	FTT	------
aberto	1	por-30-00764484-a	a	75	WEB API	------
aberto	1	por-30-01310273-a	a	52.1492	triangulation pt/en/	------
aberto	1	por-30-01618376-a	a	75	WEB API	------
aberto	2	por-30-01704761-a	a	52.1492	triangulation pt/en/	------
aberto	3	por-30-01861910-a	a	52.1492	triangulation pt/en/	------
aberto	4	por-30-02130821-a	a	52.1492	triangulation pt/en/	------
aberto	5	por-30-01652902-a	a	73	tri GL CA ES	------
aberto	6	por-30-01652380-a	a	73	tri GL CA ES	------
aberto	7	por-30-01654377-a	a	73	tri GL CA ES	------
aberto	8	por-30-00036254-a	a	71	FTT	------
abertura	1	por-30-00383390-n	n	52.8162	triangulation pt/en/	------
abertura	2	por-30-02727141-n	n	52.4347	triangulation pt/en/	------
abertura	3	por-30-03848729-n	n	52.5149	triangulation pt/en/	------
abertura	4	por-30-05249636-n	n	54.2243	triangulation pt/en/	------
abertura	5	por-30-06397476-n	n	52.8162	triangulation pt/en/	------
abertura	6	por-30-07452699-n	n	52.8162	triangulation pt/en/	------
abertura	7	por-30-09201031-n	n	52.8162	triangulation pt/en/	------
abertura	8	por-30-09379111-n	n	54.2243	triangulation pt/en/	------
abertura	9	por-30-00235435-n	n	73	tri GL CA ES	------
abismo	1	por-30-04753060-n	n	52.4848	triangulation pt/en/	------
abismo	2	por-30-09186359-n	n	52.4848	triangulation pt/en/	------
abismo	3	por-30-09296053-n	n	52.4848	triangulation pt/en/	------
abismo	4	por-30-05629381-n	n	73	tri GL CA ES	------
abolicionista	1	por-30-09756637-n	n	73	tri GL CA ES	------
abolir	1	por-30-00799798-v	v	75	WEB API	------
abolir	1	por-30-02427334-v	v	52.2966	triangulation pt/en/	------
abominar	1	por-30-01774426-v	v	75	WEB API	------
abominação	1	por-30-07503430-n	n	53	triangulation pt/en/	------
abonado	1	por-30-02022167-a	a	75	WEB API	------
abonador	1	por-30-10149527-n	n	75	WEB API	------
abordagem	1	por-30-00280853-n	n	52.6409	triangulation pt/en/	------
abordagem	1	por-30-01134861-n	n	75	WEB API	------
abordagem	2	por-30-00941140-n	n	52.6409	triangulation pt/en/	------
abordagem	3	por-30-06211078-n	n	52.7815	triangulation pt/en/	------
abordagem	4	por-30-07164349-n	n	52.6409	triangulation pt/en/	------
abordar	1	por-30-00813978-v	v	75	WEB API	------
abordar	1	por-30-01150164-v	v	52.0533	triangulation pt/en/	------
abordar	2	por-30-01033527-v	v	73	tri GL CA ES	------
abordar	3	por-30-00781652-v	v	73	tri GL CA ES	------
aborrecer	1	por-30-01774426-v	v	75	WEB API	------
aborrecer	1	por-30-01787955-v	v	75	WEB API	------
aborrecer	1	por-30-01817130-v	v	75	WEB API	------
aborrecer	1	por-30-01821884-v	v	75	WEB API	------
aborrecimento	1	por-30-07503430-n	n	73	tri GL CA ES	------
abortar	1	por-30-00060063-v	v	71	FTT	------
abortar	2	por-30-00059769-v	v	71	FTT	------
abortar	3	por-30-00059899-v	v	71	FTT	------
aborto	1	por-30-00230324-n	n	52.9288	triangulation pt/en/	------
aborto	2	por-30-07319652-n	n	52.9288	triangulation pt/en/	------
aborígene	1	por-30-01036383-a	a	75	WEB API	------
abrandamento	1	por-30-07357101-n	n	75	WEB API	------
abrandar	1	por-30-00441212-v	v	75	WEB API	------
abrandar	1	por-30-01764800-v	v	75	WEB API	------
abranger	1	por-30-02632940-v	v	73	tri GL CA ES	------
abranger	2	por-30-02685390-v	v	73	tri GL CA ES	------
abranger	3	por-30-00590366-v	v	73	tri GL CA ES	------
abranger	4	por-30-02629793-v	v	73	tri GL CA ES	------
abranger	5	por-30-00592341-v	v	73	tri GL CA ES	------
abranger	6	por-30-00588888-v	v	73	tri GL CA ES	------
abrasar	1	por-30-00860620-v	v	75	WEB API	------
abrasar	1	por-30-02762468-v	v	73	tri GL CA ES	------
abrasão	1	por-30-13423615-n	n	52.6279	triangulation pt/en/	------
abrasão	2	por-30-14286549-n	n	52.6279	triangulation pt/en/	------
abraçar	1	por-30-00601822-v	v	52.7923	triangulation pt/en/	------
abraçar	2	por-30-01424456-v	v	52.7923	triangulation pt/en/	------
abraço	1	por-30-00417859-n	n	52.5805	triangulation pt/en/	------
abraço	2	por-30-00417397-n	n	73	tri GL CA ES	------
