0	Synonyms	0
1	Antonyms	0
2	Hyperonyms	1
3	Hyponyms	1
4	Holonyms	1
5	Meronyms	1
6	Related	0
7	Verbs	0
8	Domain	0
9	Glosses	0
97	Roles	0
98	Fuzzynyms	0
99	Another	0
