ili-30-00001740-a	a	eng-30	00	0
ili-30-00001740-n	n	eng-30	03	0
ili-30-00001740-r	r	eng-30	02	0
ili-30-00001740-v	v	eng-30	29	0
ili-30-00001837-r	r	eng-30	02	0
ili-30-00001930-n	n	eng-30	03	0
ili-30-00001981-r	r	eng-30	02	0
ili-30-00002098-a	a	eng-30	00	0
ili-30-00002137-n	n	eng-30	03	0
ili-30-00002142-r	r	eng-30	02	0
ili-30-00002296-r	r	eng-30	02	0
ili-30-00002312-a	a	eng-30	00	0
ili-30-00002325-v	v	eng-30	29	0
ili-30-00002436-r	r	eng-30	02	0
ili-30-00002452-n	n	eng-30	03	0
ili-30-00002527-a	a	eng-30	00	0
ili-30-00002573-v	v	eng-30	29	0
ili-30-00002621-r	r	eng-30	02	0
ili-30-00002684-n	n	eng-30	03	0
ili-30-00002724-v	v	eng-30	29	0
ili-30-00002730-a	a	eng-30	00	0
ili-30-00002843-a	a	eng-30	00	0
ili-30-00002942-v	v	eng-30	29	0
ili-30-00002950-r	r	eng-30	02	0
ili-30-00002956-a	a	eng-30	00	0
ili-30-00003093-r	r	eng-30	02	0
ili-30-00003131-a	a	eng-30	00	0
ili-30-00003133-v	v	eng-30	29	0
ili-30-00003294-r	r	eng-30	02	0
ili-30-00003316-v	v	eng-30	29	0
ili-30-00003356-a	a	eng-30	00	0
ili-30-00003380-r	r	eng-30	02	0
ili-30-00003431-v	v	eng-30	29	0
ili-30-00003483-r	r	eng-30	02	0
ili-30-00003553-a	a	eng-30	00	0
ili-30-00003553-n	n	eng-30	03	0
ili-30-00003662-v	v	eng-30	29	0
ili-30-00003700-a	a	eng-30	00	0
ili-30-00003771-r	r	eng-30	02	0
ili-30-00003826-v	v	eng-30	29	0
ili-30-00003829-a	a	eng-30	00	0
ili-30-00003846-r	r	eng-30	02	0
ili-30-00003925-r	r	eng-30	02	0
ili-30-00003939-a	a	eng-30	00	0
ili-30-00003993-n	n	eng-30	03	0
ili-30-00004032-v	v	eng-30	29	0
ili-30-00004038-r	r	eng-30	02	0
ili-30-00004171-a	a	eng-30	00	0
ili-30-00004184-r	r	eng-30	02	0
ili-30-00004227-v	v	eng-30	29	0
ili-30-00004258-n	n	eng-30	03	0
ili-30-00004288-r	r	eng-30	02	0
ili-30-00004296-a	a	eng-30	00	0
ili-30-00004394-r	r	eng-30	02	0
ili-30-00004413-a	a	eng-30	00	0
ili-30-00004475-n	n	eng-30	03	0
ili-30-00004492-v	v	eng-30	29	0
ili-30-00004567-r	r	eng-30	02	0
ili-30-00004605-v	v	eng-30	29	0
ili-30-00004615-a	a	eng-30	00	0
ili-30-00004722-r	r	eng-30	02	0
ili-30-00004723-a	a	eng-30	00	0
ili-30-00004817-a	a	eng-30	00	0
ili-30-00004819-v	v	eng-30	29	0
ili-30-00004967-r	r	eng-30	02	0
ili-30-00004980-a	a	eng-30	00	0
ili-30-00005041-v	v	eng-30	29	0
ili-30-00005055-r	r	eng-30	02	0
ili-30-00005107-a	a	eng-30	00	0
ili-30-00005205-a	a	eng-30	00	0
ili-30-00005210-r	r	eng-30	02	0
ili-30-00005343-r	r	eng-30	02	0
ili-30-00005453-r	r	eng-30	02	0
ili-30-00005473-a	a	eng-30	00	0
ili-30-00005526-v	v	eng-30	29	0
ili-30-00005567-r	r	eng-30	02	0
ili-30-00005599-a	a	eng-30	00	0
ili-30-00005674-r	r	eng-30	02	0
ili-30-00005718-a	a	eng-30	00	0
ili-30-00005779-r	r	eng-30	02	0
ili-30-00005787-n	n	eng-30	03	0
ili-30-00005815-v	v	eng-30	29	0
ili-30-00005839-a	a	eng-30	00	0
ili-30-00005930-n	n	eng-30	03	0
ili-30-00006024-n	n	eng-30	03	0
ili-30-00006032-a	a	eng-30	00	0
ili-30-00006034-r	r	eng-30	02	0
ili-30-00006100-v	v	eng-30	29	0
ili-30-00006105-r	r	eng-30	02	0
ili-30-00006150-n	n	eng-30	03	0
ili-30-00006238-v	v	eng-30	29	0
ili-30-00006245-a	a	eng-30	00	0
ili-30-00006259-r	r	eng-30	02	0
ili-30-00006269-n	n	eng-30	03	0
ili-30-00006336-a	a	eng-30	00	0
ili-30-00006400-n	n	eng-30	03	0
ili-30-00006423-r	r	eng-30	02	0
ili-30-00006484-n	n	eng-30	03	0
ili-30-00006523-v	v	eng-30	29	0
ili-30-00006610-r	r	eng-30	02	0
ili-30-00006697-v	v	eng-30	29	0
ili-30-00006729-r	r	eng-30	02	0
ili-30-00006777-a	a	eng-30	00	0
ili-30-00006802-v	v	eng-30	29	0
ili-30-00006858-r	r	eng-30	02	0
ili-30-00006885-a	a	eng-30	00	0
ili-30-00007012-v	v	eng-30	29	0
ili-30-00007015-r	r	eng-30	02	0
ili-30-00007096-a	a	eng-30	00	0
ili-30-00007193-v	v	eng-30	29	0
ili-30-00007208-a	a	eng-30	00	0
ili-30-00007328-v	v	eng-30	29	0
ili-30-00007331-a	a	eng-30	00	0
ili-30-00007347-n	n	eng-30	03	0
ili-30-00007488-r	r	eng-30	02	0
ili-30-00007516-a	a	eng-30	00	0
ili-30-00007549-v	v	eng-30	29	0
ili-30-00007697-a	a	eng-30	00	0
ili-30-00007703-r	r	eng-30	02	0
ili-30-00007739-v	v	eng-30	29	0
ili-30-00007813-a	a	eng-30	00	0
ili-30-00007846-n	n	eng-30	03	0
ili-30-00007884-r	r	eng-30	02	0
ili-30-00007990-a	a	eng-30	00	0
ili-30-00008007-r	r	eng-30	02	0
ili-30-00008055-v	v	eng-30	29	0
ili-30-00008195-v	v	eng-30	29	0
ili-30-00008206-a	a	eng-30	00	0
ili-30-00008299-v	v	eng-30	29	0
ili-30-00008435-v	v	eng-30	29	0
ili-30-00008443-a	a	eng-30	00	0
ili-30-00008595-a	a	eng-30	00	0
ili-30-00008600-r	r	eng-30	02	0
ili-30-00008602-v	v	eng-30	29	0
ili-30-00008734-a	a	eng-30	00	0
ili-30-00008799-v	v	eng-30	29	0
ili-30-00008877-a	a	eng-30	00	0
ili-30-00008977-v	v	eng-30	29	0
ili-30-00008997-r	r	eng-30	02	0
ili-30-00009046-a	a	eng-30	00	0
ili-30-00009147-v	v	eng-30	29	0
ili-30-00009346-a	a	eng-30	00	0
ili-30-00009373-r	r	eng-30	02	0
ili-30-00009492-v	v	eng-30	29	0
ili-30-00009541-r	r	eng-30	02	0
ili-30-00009618-a	a	eng-30	00	0
ili-30-00009631-v	v	eng-30	29	0
ili-30-00009650-r	r	eng-30	02	0
ili-30-00009859-r	r	eng-30	02	0
ili-30-00009884-v	v	eng-30	29	0
ili-30-00009966-r	r	eng-30	02	0
ili-30-00009978-a	a	eng-30	00	0
ili-30-00010047-r	r	eng-30	02	0
