,Source Synset,Target Synset
45532,105665146,105666700
45533,105665984,105666176
45534,105667196,105667404
45535,105667196,105667613
45536,105667196,105669797
45537,105667404,105669034
45538,105667404,105669181
45539,105667404,105669350
45540,105667613,105667951
45541,105667613,105668095
45542,105667613,105668359
45543,105668095,105668581
45544,105668095,105668725
45545,105668095,105668915
45546,105669350,105669618
45547,105669934,105671217
45548,105669934,105672391
45549,105669934,105672698
45550,105669934,105674584
45551,105669934,105674927
45552,105669934,105675130
45553,105669934,105678932
45554,105669934,105682431
45555,105669934,105682570
45556,105669934,105683582
45557,105669934,105697135
45558,105669934,105698247
45559,105669934,105699906
45560,105669934,105700087
45561,105669934,105787175
45562,105669934,105787498
45563,105670343,105670512
45564,105670343,105670615
45565,105670710,105670972
45566,105670710,105671325
45567,105670710,105671676
45568,105670710,105671974
45569,105670710,105672178
45570,105671325,105671526
45571,105671676,105671842
45572,105672391,105672862
45573,105672391,105673088
45574,105672391,105673209
45575,105672391,105673439
45576,105672391,105674319
45577,105673209,105673323
45578,105673439,105673710
45579,105673908,105674134
45580,105675130,105675437
45581,105675130,105675601
45582,105675130,105677952
45583,105675130,105678148
45584,105675130,105678300
45585,105675601,105675715
45586,105675905,105676605
45587,105675905,105677340
45588,105675905,105677504
45589,105676605,105676755
45590,105676605,105676911
45591,105677504,105677744
45592,105677504,105677850
45593,105678300,105678474
45594,105678474,105678745
45595,105678474,105678855
45596,105678932,105679305
45597,105678932,105679611
45598,105678932,105679800
45599,105678932,105679906
45600,105678932,105680193
45601,105678932,105680684
45602,105678932,105680839
45603,105678932,105680982
45604,105678932,105681334
45605,105678932,105681543
45606,105678932,105682055
45607,105679611,105673908
45608,105679611,105677097
45609,105680193,105680423
45610,105680193,105680573
45611,105681334,105681701
45612,105681334,105681855
45613,105682055,105682196
45614,105682570,105682798
45615,105682570,105682950
45616,105682570,105683197
45617,105682950,105670343
45618,105682950,105670710
45619,105683197,105683390
45620,105683582,105684003
45621,105683582,105684440
45622,105683582,105684561
45623,105683582,105684739
45624,105683582,105684839
45625,105683582,105685030
45626,105683582,105685363
45627,105684003,105684249
45628,105685363,105685538
45629,105685363,105685879
45630,105685363,105686086
45631,105686086,105686272
45632,105686481,105686690
45633,105686481,105686955
45634,105686481,105692419
45635,105686955,105687338
45636,105686955,105688486
45637,105686955,105688630
45638,105686955,105688770
45639,105686955,105688907
45640,105686955,105688990
45641,105686955,105689109
45642,105686955,105689249
45643,105686955,106251424
45644,105687338,105687654
45645,105687338,105687832
45646,105687338,105687958
45647,105687338,105688030
45648,105687338,105688169
45649,105687338,105688397
45650,105689249,105689645
45651,105689249,105689801
45652,105689249,105689909
45653,105689249,105690091
45654,105689249,105690269
45655,105689249,105690684
45656,105690269,105690916
45657,105690269,105691144
45658,105690269,105691241
45659,105690269,105691376
45660,105690916,105691492
45661,105690916,105691963
45662,105691492,105691689
45663,105691492,105692094
45664,105691492,105692234
45665,105692419,105692758
45666,105692419,105692910
45667,105692910,105693206
45668,105692910,105693383
45669,105692910,105693537
