,Subclass,Hierarchy_1,Hierarchy_2
700,subclass,TransportationDevice,Device
701,subclass,Tree,DirectedGraph
702,subclass,TrichotomizingRelation,BinaryRelation
703,subclass,TruthValue,RelationalAttribute
704,subclass,Tuesday,Day
705,subclass,TwoDimensionalAngle,OpenTwoDimensionalFigure
706,subclass,TwoDimensionalFigure,GeometricFigure
707,subclass,UnaryConstantFunctionQuantity,FunctionQuantity
708,subclass,UnaryFunction,BinaryRelation
709,subclass,UnaryFunction,Function
710,subclass,UnaryFunction,InheritableRelation
711,subclass,Uncovering,Removing
712,subclass,Ungrasping,Detaching
713,subclass,UnilateralGetting,Getting
714,subclass,UnilateralGiving,Giving
715,subclass,UniqueList,List
716,subclass,UnitOfAngularMeasure,NonCompositeUnitOfMeasure
717,subclass,UnitOfArea,CompositeUnitOfMeasure
718,subclass,UnitOfAtmosphericPressure,CompositeUnitOfMeasure
719,subclass,UnitOfCurrency,NonCompositeUnitOfMeasure
720,subclass,UnitOfDuration,NonCompositeUnitOfMeasure
721,subclass,UnitOfFrequency,CompositeUnitOfMeasure
722,subclass,UnitOfInformation,NonCompositeUnitOfMeasure
723,subclass,UnitOfLength,NonCompositeUnitOfMeasure
724,subclass,UnitOfMass,NonCompositeUnitOfMeasure
725,subclass,UnitOfMeasure,PhysicalQuantity
726,subclass,UnitOfMeasureMultiplier,TotalValuedRelation
727,subclass,UnitOfMeasureMultiplier,UnaryFunction
728,subclass,UnitOfTemperature,NonCompositeUnitOfMeasure
729,subclass,UnitOfVolume,CompositeUnitOfMeasure
730,subclass,ValidDeductiveArgument,DeductiveArgument
731,subclass,VariableArityRelation,Relation
732,subclass,Vehicle,TransportationDevice
733,subclass,Verb,Word
734,subclass,VerbPhrase,Phrase
735,subclass,Vertebrate,Animal
736,subclass,ViolentContest,Contest
737,subclass,Virus,Microorganism
738,subclass,VisualAttribute,PerceptualAttribute
739,subclass,Vitamin,Nutrient
740,subclass,VocalCords,Organ
741,subclass,Vocalizing,RadiatingSound
742,subclass,VolumeMeasure,FunctionQuantity
743,subclass,Voting,Deciding
744,subclass,Walking,Ambulating
745,subclass,War,ViolentContest
746,subclass,WarmBloodedVertebrate,Vertebrate
747,subclass,Water,CompoundSubstance
748,subclass,WaterArea,GeographicArea
749,subclass,WaterCloud,Cloud
750,subclass,WaterMotion,LiquidMotion
751,subclass,Weapon,Device
752,subclass,WearableItem,Artifact
753,subclass,WeatherProcess,Motion
754,subclass,Wednesday,Day
755,subclass,Week,TimeInterval
756,subclass,Wetting,Putting
757,subclass,Wind,GasMotion
758,subclass,Woman,Human
759,subclass,Word,LinguisticExpression
760,subclass,Worm,Invertebrate
761,subclass,Writing,ContentDevelopment
762,subclass,Year,TimeInterval
