glóbulos_vermellos_sedimentados	1	os glóbulos vermellos sedimentados son indicados para pacientes anémicos de modo severo, a fin de evitar sobrecargar o sistema circulatorio con moito líquido	n	glg-30-05450370-n
esperma	1	un espermatozoide é un núcleo rodeado por outros pequenos materiais celulares	n	glg-30-05457469-n
centro	1	na maioría da xente, o centro da fala está situado no hemisferio esquerdo	n	glg-30-05463533-n
papila	1	as papilas da lingua	n	glg-30-05473735-n
sinapse	1	os impulsos nerviosos establecen unha sinapse por medio da acción de neurotransmisores	n	glg-30-05473928-n
lobo	1	lobo da orella	n	glg-30-05493303-n
introito	1	o introito de vaxina	n	glg-30-05512505-n
xenitais_femininos	1	en Galicia 'cona' é un termo vulgar para referirse aos órganos xenitais femininos	n	glg-30-05514410-n
vaxina	1	a vaxina é elástica, o suficiente para permitir o paso dun feto	n	glg-30-05521111-n
testículo_retido	1	os testículos retidos teñen un risco alto de sufrir cancro	n	glg-30-05525391-n
tonsila_farínxea	1	 a hipertrofia da tonsila farínxea chámase adenoide	n	glg-30-05529286-n
cego	1	o apéndice é unha ramificación do cego	n	glg-30-05536370-n
cabeza	1	sacou a cabeza para fóra da xanela	n	glg-30-05538625-n
coiro_cabeludo	1	querían coller o seu coiro cabeludo como un trofeo	n	glg-30-05539947-n
queixada	2	voulle bater na queixada	n	glg-30-05546298-n
pescozo	1	admiraba o seu pescozo longo e elegante	n	glg-30-05546540-n
pescozo	1	o cabalo venceu polo pescozo	n	glg-30-05546540-n
derivación	1	derivación arteriovenosa	n	glg-30-05548521-n
axila	1	chegaron ata as súas axilas na auga	n	glg-30-05549576-n
torso	1	moveron os brazos, as pernas e o torso	n	glg-30-05549830-n
flanco	1	tivo dor nun flanco	n	glg-30-05551318-n
peito	0	batia no peito con rabia	n	glg-30-05553288-n
cintura	2	as mozas americanas cren que levar a cintura ao aire está de moda	n	glg-30-05555473-n
embigo	1	non debería amosar o embigo na televisión	n	glg-30-05556595-n
embigo	1	discutiron se Adán tiña ou non embigo	n	glg-30-05556595-n
embigo	1	tiña unha tatuaxe xusto enriba do embigo	n	glg-30-05556595-n
dorso	1	dorso do pé	n	glg-30-05557500-n
costas	2	as súas costas estaban lixeiramente bronceadas	n	glg-30-05558717-n
extremidade	2	É importante manter as extremidades quentes	n	glg-30-05559908-n
pata	1	quedou mal das patas pola febre	n	glg-30-05561707-n
patas	1	fun coas miñas patas	n	glg-30-05562015-n
colo	1	colleu a nena e sentouna no colo	n	glg-30-05562595-n
pé	1	os seus pés descalzos sobresaíanlle por debaixo dos pantalóns	n	glg-30-05563266-n
pé	1	blindado da cabeza aos pés	n	glg-30-05563266-n
man	1	tiña as mans dun cirurxián	n	glg-30-05564590-n
man	1	estendeu a súa man	n	glg-30-05564590-n
dereita	1	el escribe coa man dereita, pero tira coa esquerda	n	glg-30-05565337-n
dereita	1	golpeouno con dereitos rápidos no corpo	n	glg-30-05565337-n
esquerda	1	gancho coa esquerda	n	glg-30-05565548-n
dedo	1	Os seus dedos eran longos e finos	n	glg-30-05566504-n
bóla	1	a bóla na base do polgar	n	glg-30-05576194-n
bóla	1	apoíabase na bóla dos pés	n	glg-30-05576194-n
óso_da_alegría	1	o óso da alegría non é o úmero	n	glg-30-05580662-n
cabeza	2	cabeza do úmero	n	glg-30-05595837-n
articulación_xiratoria	1	a articulación do radio e do cúbito no brazo é unha articulación xiratoria	n	glg-30-05597188-n
nariz	1	ten o nariz arrefriado	n	glg-30-05598147-n
ponte	2	os lentes deixaron marcas na ponte do seu nariz	n	glg-30-05599203-n
goio	1	o seu goio apareceu cando sorriu 	n	glg-30-05599874-n
cara	1	el lavou a cara	n	glg-30-05600637-n
rudimento	1	o divertículo de Meckel é o rudimento da membrana vitelina embrionaria	n	glg-30-05604022-n
parede	1	paredes do estómago	n	glg-30-05604254-n
humor	1	os humores son o sangue,a flegma, a bile negra e bile amarela	n	glg-30-05604535-n
fuso	1	os cromosomas son distribuídos por fusos na mitose e meiose	n	glg-30-05605498-n
engurra	1	engurras do estómago	n	glg-30-05607271-n
telómero	1	os telómeros actúan como tapóns para que as extremidades dos cromosomas non se unan	n	glg-30-05610520-n
cadáver	1	o cadáver foi destinado para a disección	n	glg-30-05218119-n
química	1	a química do solo	n	glg-30-14580752-n
cadáver	1	o asasino confesou que guindou o cadáver ao río	n	glg-30-05218119-n
material	1	o trigo é o material que se emprega para facer o pan	n	glg-30-14580897-n
impureza	1	hai impurezas na auga	n	glg-30-14583670-n
aliaxe	1	o latón é unha aliaxe de cinc e cobre	n	glg-30-14586769-n
solución	1	usou unha solución de peróxido e auga	n	glg-30-14589223-n
acilo	1	un exemplo de grupo acilo é o grupo acetilo	n	glg-30-14594708-n
poliestireno	1	o poliestireno expandido parécese a unha escuma ríxida branca e úsase coma envase ou o illamento	n	glg-30-14595711-n
aminoácido	1	as proteínas están compostas por diversas proporcións de preto de 20 aminoácidos comúns	n	glg-30-14601829-n
ácido_hidriódico	1	o ácido hidriódico é un ácido forte	n	glg-30-14612972-n
adulterante	1	é necesario eliminar os adulterantes antes de usalo	n	glg-30-14616939-n
base	2	as bases inclúen óxidos e hidróxidos de metais e amoníacos	n	glg-30-14618253-n
metal_base	1	o chumbo, o ferro, o cobre, o estaño e o cinc son os metais bases	n	glg-30-14618674-n
atrazina	1	pénsase que a atrazina causa cancro e está prohibida nalgúns países europeos	n	glg-30-14629772-n
chumbo	1	os nenos estaban xogando con soldadiños de chumbo	n	glg-30-14643467-n
emulsión	1	unha emulsión de aceite en auga	n	glg-30-14674584-n
lume	2	no alto do monte había lume	n	glg-30-14686186-n
lume	2	no inverno acendemos o lume na lareira	n	glg-30-14686186-n
gasolina_con_chumbo	1	a combustión de gasolina con chumbo libera chumbo no aire onde pode causar intoxicación por chumbo	n	glg-30-14687261-n
ricina	1	un miligramo de ricina pode matar un adulto	n	glg-30-14696463-n
rocha	1	a montaña é unha rocha sólida	n	glg-30-14696793-n
xema	1	os rubís son xemas	n	glg-30-14699752-n
apresto	1	o apresto dá corpo a un tecido	n	glg-30-14706372-n
acrilamida	1	alegaron que a acrilamida é producida cando certos carbohidratos son asados ou fritos a altas temperaturas	n	glg-30-14711364-n
proteína	1	unha dieta rica en proteínas	n	glg-30-14728724-n
filagrina	1	o obxectivo específico da resposta inmune na artrite reumatoide é a filagrina	n	glg-30-14734164-n
pelica	2	leva unhas luvas de pelica	n	glg-30-14762846-n
pel_de_foca	1	tiña un abrigo de pel de foca	n	glg-30-14766040-n
garavatos	1	fixeron unha fogueira con garavatos	n	glg-30-14785197-n
graxa_animal	1	a graxa animal é rica en ácidos graxos saturados	n	glg-30-14787520-n
lapis	1	o medio favorito do artista é o lapis	n	glg-30-14796748-n
cemento	1	estaba de pé sobre o cemento gris a carón da piscina	n	glg-30-14804487-n
alomorfo	1	o carbonato de calcio atópase nos alomorfos da calcita e da aragonita	n	glg-30-14819856-n
refrixerante	1	engadiulle máis refrixerante ao radiador do automóbil	n	glg-30-14822141-n
refrixerante	1	o reactor atómico usa un gas refrixerante	n	glg-30-14822141-n
refrixerante	1	os operadores de torno usan unha emulsión de aceite e auga como refrixerante para o instrumento de corte	n	glg-30-14822141-n
exón	1	os exóns son intercalados cos intróns	n	glg-30-14830992-n
DNA_non_codificante	1	a maior parte do xenoma está composto de DNA non codificante	n	glg-30-14831338-n
ácido_ribonucleico	1	o ácido ribonucleico é o material xenético dalgúns virus	n	glg-30-14832193-n
orballo	1	de mañá a herba estaba mollada co orballo	n	glg-30-14834132-n
po_de_xiz	1	o po de xiz cubrían as mans do profesor	n	glg-30-14839698-n
po	1	o moble estaba cuberto con po	n	glg-30-14839846-n
po	2	os astrónomos din que o espazo baleiro entre os planetas realmente contén cantidades medibles de po	n	glg-30-14840092-n
elemento	2	os alquimistas crían que existían catro elementos	n	glg-30-14840755-n
aire	1	a contaminación do aire	n	glg-30-14841267-n
aire	1	hai un cheiro a produtos químicos no aire	n	glg-30-14841267-n
aire	1	abride unha xanela e deixade entrar algo de aire	n	glg-30-14841267-n
aire	1	necesito un pouco de aire fresco	n	glg-30-14841267-n
alento	1	o seu alento agre desagradoume	n	glg-30-14841770-n
aire_comprimido	1	o aire comprimido úsase frecuentemente para máquinas potentes	n	glg-30-14842378-n
terra	2	cavaron a terra fóra da igrexa	n	glg-30-14842992-n
acondicionador_do_solo	1	o xeso pode ser utilizado como un acondicionador do solo	n	glg-30-14845383-n
electrólito	1	unha boa cantidade e distribución de electrólitos no corpo é esencial para a saúde	n	glg-30-14847929-n
urina	1	había sangue na súa urina	n	glg-30-14855724-n
residuos	1	recollen os residuos unha vez por semana	n	glg-30-14856263-n
chatarra	1	finalmente vendeu o coche para a chatarra	n	glg-30-14857737-n
augas_residuais	2	realizou o baleirado das augas residuais	n	glg-30-14858451-n
graxa	1	a pizza ten moita graxa	n	glg-30-14864360-n
recheo	1	non foi suficiente recheo para a gabia	n	glg-30-14868243-n
preparado	1	o médico prescribiu un preparado comercial do medicamento	n	glg-30-14873641-n
radical_libre	1	no corpo os radicais libres son partículas de alta enerxía que rebotan incontroladamente e danan as células	n	glg-30-14874196-n
combustible	1	durante os meses de inverno é necesario máis combustible	n	glg-30-14875077-n
combustible	1	desenvolveron combustibles alternativos para avións	n	glg-30-14875077-n
ácido_fúlvico	1	mediron o ácido fúlvico fluvial	n	glg-30-14875878-n
glicérido	1	as graxas frescas conteñen glicéridos de ácidos graxos e moi poucos ácidos libres	n	glg-30-14885088-n
medio	4	o medio de disolución chámase un solvente	n	glg-30-14899152-n
cicuta	1	Sócrates rexeitou fuxir e morreu por beber cicuta	n	glg-30-14906085-n
homoxeneizado	1	homoxeneizados de fígado	n	glg-30-14908422-n
ácido_húmico	1	a vida media dos ácidos húmicos é medido en séculos	n	glg-30-14909120-n
xeo	1	os galegos queren xeo nas bebidas	n	glg-30-14915184-n
impregnación	1	a impregnación, calquera que fose, virou a pedra de cor azul	n	glg-30-14916796-n
lactosa	1	o leite de vaca contén preto dun 4,7% de lactosa	n	glg-30-14929462-n
licor	1	licores de residuos	n	glg-30-14941230-n
estela	2	cando o barco foi golpeado saltaron estelas	n	glg-30-14949075-n
lama	2	abríronse paso pola lama	n	glg-30-14956523-n
gas_VX	1	o gas VX é unha desas cousas que non se debería inventar	n	glg-30-14960963-n
xornal	1	eles usan fardos de xornal todos os días	n	glg-30-14961722-n
sistema	1	nun sistema estático o petróleo non pode ser substituído por auga nunha superficie	n	glg-30-14981183-n
sistema	1	 sistema que xera peróxido de hidróxeno	n	glg-30-14981183-n
produto	1	un produto de cal e ácido nítrico	n	glg-30-14997699-n
disolvente	1	disolvente de pintura	n	glg-30-15003969-n
disolvente	1	disolvente de ferruxe	n	glg-30-15003969-n
fibra	1	as fibras varían moito na súa lonxitude	n	glg-30-15018688-n
factor_intrínseco	1	a ausencia do factor intrínseco pode causar anemia perniciosa	n	glg-30-15023720-n
hemoglobina	1	os peixes teñen a hemoglobina máis simple que os mamíferos	n	glg-30-15024240-n
oxihemoglobina	1	a oxihemoglobina transporta o osíxeno para as células do corpo	n	glg-30-15024773-n
disolvente	2	o disolvente non cambia o seu estado na formación dunha solución	n	glg-30-15047313-n
vertedura	1	as verteduras do Prestige foron moi daniñas	n	glg-30-15049594-n
aerosol_de_pementa	1	a policía usou un aerosol de pementa para asoballar a multitude	n	glg-30-15057558-n
