-ra_egin	1	eus-30-00467451-v	v	99.0	None	------
-ra_etorri	1	eus-30-01035530-v	v	99.0	None	------
-ra_heldu	1	eus-30-02020590-v	v	99.0	None	------
-ra_igorri	1	eus-30-01705257-v	v	99.0	None	------
-ra_iritsi	1	eus-30-02020590-v	v	99.0	None	------
-ra_jo	1	eus-30-02312318-v	v	99.0	None	------
-raino_iritsi	1	eus-30-02687916-v	v	99.0	None	------
-rantz_abiatu	1	eus-30-01931768-v	v	99.0	None	------
-rantz_jo	1	eus-30-01448778-v	v	99.0	None	------
-rantz_joan	1	eus-30-01931768-v	v	99.0	None	------
-rantz_nabigatu	1	eus-30-01931768-v	v	99.0	None	------
-ratu	1	eus-30-02157100-v	v	99.0	None	------
-rena_egin	1	eus-30-02697725-v	v	99.0	None	------
-ri_egokitu	1	eus-30-02676054-v	v	99.0	None	------
-ri_epea_bete	1	eus-30-02303761-v	v	99.0	None	------
-ri_utzi	1	eus-30-01083044-v	v	99.0	None	------
-teko_arriskua_egon	1	eus-30-02697120-v	v	99.0	None	------
-teko_asmoa_izan	1	eus-30-00704690-v	v	99.0	None	------
-teko_asmotan_ibili	1	eus-30-00704690-v	v	99.0	None	------
-teko_beldur_izan	1	eus-30-01780202-v	v	99.0	None	------
-teko_zorian_izan	1	eus-30-02697120-v	v	99.0	None	------
-tik_alde_egin	1	eus-30-02015598-v	v	99.0	None	------
-tik_atera	1	eus-30-02014024-v	v	99.0	None	------
-tik_hanka_egin	1	eus-30-02015598-v	v	99.0	None	------
-tik_libre_geratu	1	eus-30-02350175-v	v	99.0	None	------
-tik_zaindu	1	eus-30-01128193-v	v	99.0	None	------
-tzat_aurkeztu	1	eus-30-02142775-v	v	99.0	None	------
-tzat_eduki	1	eus-30-00689950-v	v	99.0	None	------
-tzat_eduki	2	eus-30-00690614-v	v	99.0	None	------
-tzat_eduki	3	eus-30-00689344-v	v	99.0	None	------
-tzat_hartu	1	eus-30-00689950-v	v	99.0	None	------
-tzat_hartu	2	eus-30-00690614-v	v	99.0	None	------
-tzat_izan	1	eus-30-00689344-v	v	99.0	None	------
-tzat_jo	1	eus-30-00689950-v	v	99.0	None	------
-tzat_jo	5	eus-30-02144644-v	v	99.0	None	------
-tzat_jo	4	eus-30-00956687-v	v	99.0	None	------
-tzat_jo	2	eus-30-00822367-v	v	99.0	None	------
-tzat_jo	3	eus-30-00690614-v	v	99.0	None	------
-z_baliatu	1	eus-30-01164273-v	v	99.0	None	------
-z_baliatu	2	eus-30-02312318-v	v	99.0	None	------
-z_bete	1	eus-30-00454251-v	v	99.0	None	------
-z_gabetu	1	eus-30-02314275-v	v	99.0	None	------
-z_hornitu	1	eus-30-01182709-v	v	99.0	None	------
-z_jabetu	1	eus-30-00598954-v	v	99.0	None	------
-z_joan	1	eus-30-01955984-v	v	99.0	None	------
-zale	1	eus-30-09768830-n	n	99.0	None	------
-ztatu	1	eus-30-00454251-v	v	99.0	None	------
0_°C_isoterma	1	eus-30-80000745-n	n	99.0	None	------
1000000000	1	eus-30-13751829-n	n	99.0	None	------
1944ko_ekainak_6	1	eus-30-15162523-n	n	99.0	None	------
1945eko_abuztuak_15	1	eus-30-15162882-n	n	99.0	None	------
1945eko_maiatzak_8	1	eus-30-15162764-n	n	99.0	None	------
2.71828182845904523536...	1	eus-30-13754165-n	n	99.0	None	------
3.14159265358979323846...	1	eus-30-13754008-n	n	99.0	None	------
AA	1	eus-30-06133203-n	n	99.0	None	------
AA	2	eus-30-08010191-n	n	99.0	None	------
AED	1	eus-30-08768647-n	n	99.0	None	------
AEE	1	eus-30-08176077-n	n	99.0	None	------
AIFF	1	eus-30-80000617-n	n	99.0	None	------
A_bitamina	1	eus-30-15089803-n	n	99.0	None	------
Abel	1	eus-30-09587217-n	n	99.0	None	------
Abruzzi	1	eus-30-08804154-n	n	99.0	None	------
Aconcagua	1	eus-30-09187204-n	n	99.0	None	------
Adam	1	eus-30-09586553-n	n	99.0	None	------
Adonis	1	eus-30-09547629-n	n	99.0	None	------
Afganistan	1	eus-30-08703454-n	n	99.0	None	------
Afganistango_ehiza-txakur	1	eus-30-02088094-n	n	99.0	None	------
Afrika	1	eus-30-09189411-n	n	99.0	None	------
Afrodita	1	eus-30-09554132-n	n	99.0	None	------
Aita	1	eus-30-09536973-n	n	99.0	None	------
Aita_Santu	1	eus-30-10453533-n	n	99.0	None	------
Aita_Santuaren_eskuorde	1	eus-30-09799607-n	n	99.0	None	------
Aita_Santuaren_ordezkari	1	eus-30-09799607-n	n	99.0	None	------
Ajax	1	eus-30-09589323-n	n	99.0	None	------
Akiles	1	eus-30-09594298-n	n	99.0	None	------
Akitania	1	eus-30-08940517-n	n	99.0	None	------
Alacant	1	eus-30-80000059-n	n	99.0	None	------
Aladino	1	eus-30-09589444-n	n	99.0	None	------
Albacete	1	eus-30-80000054-n	n	99.0	None	------
Albania	1	eus-30-08704822-n	n	99.0	None	------
Albert_Einstein	1	eus-30-10954498-n	n	99.0	None	------
Alejandro_Magno	1	eus-30-10812360-n	n	99.0	None	------
Alemaniako_Errepublika_Demokratikoa	1	eus-30-08768647-n	n	99.0	None	------
Aleppo_pinu	1	eus-30-80000503-n	n	99.0	None	------
Alkoholiko_Anonimoak	1	eus-30-08010191-n	n	99.0	None	------
AlmerÃ­a	1	eus-30-80000062-n	n	99.0	None	------
Alpeak	1	eus-30-09194357-n	n	99.0	None	------
Alsazia	1	eus-30-08940209-n	n	99.0	None	------
Amazonas	1	eus-30-09195372-n	n	99.0	None	------
American_Stock_Exchange	1	eus-30-02701871-n	n	99.0	None	------
Amerikako_Estatuen_Erakundea	1	eus-30-08176077-n	n	99.0	None	------
Amerikako_ingelesa	1	eus-30-06947479-n	n	99.0	None	------
Amex	1	eus-30-02701871-n	n	99.0	None	------
Amon	1	eus-30-09511368-n	n	99.0	None	------
Anatolia	1	eus-30-08701942-n	n	99.0	None	------
Anchorage	1	eus-30-09055906-n	n	99.0	None	------
And.	1	eus-30-06341431-n	n	99.0	None	------
Andeak	1	eus-30-09196611-n	n	99.0	None	------
Andorra	1	eus-30-09023118-n	n	99.0	None	------
Andromeda	1	eus-30-09197271-n	n	99.0	None	------
Angel	1	eus-30-09197660-n	n	99.0	None	------
Antarktika	1	eus-30-09198106-n	n	99.0	None	------
Antilletako	1	eus-30-10774440-n	n	99.0	None	------
Apeninoak	1	eus-30-09200874-n	n	99.0	None	------
Apgar_test	1	eus-30-05739400-n	n	99.0	None	------
Apolo	1	eus-30-09553767-n	n	99.0	None	------
Aquarius	1	eus-30-09201840-n	n	99.0	None	------
Aquarius	2	eus-30-08687884-n	n	99.0	None	------
Arabia	1	eus-30-08847694-n	n	99.0	None	------
Arabiako_basamortua	1	eus-30-09167767-n	n	99.0	None	------
Argentina	1	eus-30-08711974-n	n	99.0	None	------
Argentinako	1	eus-30-09691149-n	n	99.0	None	------
Argizagi	1	eus-30-09358358-n	n	99.0	None	------
Argos	1	eus-30-08786660-n	n	99.0	None	------
Aries	1	eus-30-09206133-n	n	99.0	None	------
Aristotele	1	eus-30-10822338-n	n	99.0	None	------
Arkadia	1	eus-30-08790353-n	n	99.0	None	------
Armenia	1	eus-30-09017526-n	n	99.0	None	------
Artizar	1	eus-30-09470762-n	n	99.0	None	------
Artizar	2	eus-30-09359471-n	n	99.0	None	------
Artizarra	1	eus-30-09276872-n	n	99.0	None	------
Ashtart	1	eus-30-09516323-n	n	99.0	None	------
Asia	1	eus-30-09207288-n	n	99.0	None	------
Asiria	1	eus-30-08918944-n	n	99.0	None	------
Astarte	1	eus-30-09516323-n	n	99.0	None	------
Aste_Santu	2	eus-30-15191587-n	n	99.0	None	------
Aste_Santu	1	eus-30-15181444-n	n	99.0	None	------
Asunción	1	eus-30-08978667-n	n	99.0	None	------
Atakamako_basamortua	1	eus-30-09168193-n	n	99.0	None	------
Atika	1	eus-30-08786283-n	n	99.0	None	------
Atila	1	eus-30-10827678-n	n	99.0	None	------
Australia	2	eus-30-08831004-n	n	99.0	None	------
Australia	1	eus-30-09211266-n	n	99.0	None	------
Australiako_barnealde_idor	1	eus-30-08505110-n	n	99.0	None	------
Australiako_basamortua	1	eus-30-09168336-n	n	99.0	None	------
Austria	1	eus-30-08845555-n	n	99.0	None	------
Auvernia	1	eus-30-08940835-n	n	99.0	None	------
Azoreetako_antizikloi	1	eus-30-80000737-n	n	99.0	None	------
BEZ	1	eus-30-13316722-n	n	99.0	None	------
B_bitamina	1	eus-30-15090742-n	n	99.0	None	------
B_bitamina-konplexu	1	eus-30-15090742-n	n	99.0	None	------
Babilonia	1	eus-30-08916832-n	n	99.0	None	------
Babilonia	2	eus-30-08917503-n	n	99.0	None	------
Bach	1	eus-30-10830229-n	n	99.0	None	------
Bach	2	eus-30-07277915-n	n	99.0	None	------
Bacon	1	eus-30-10830456-n	n	99.0	None	------
Badajoz	1	eus-30-80000057-n	n	99.0	None	------
Bahrein	1	eus-30-08848421-n	n	99.0	None	------
Bale	1	eus-30-09032483-n	n	99.0	None	------
Baltiko	1	eus-30-09213254-n	n	99.0	None	------
Bartzelona	1	eus-30-09025189-n	n	99.0	None	------
Basel	1	eus-30-09032483-n	n	99.0	None	------
Basilea	1	eus-30-09032483-n	n	99.0	None	------
Beethoven	2	eus-30-07278014-n	n	99.0	None	------
Beethoven	1	eus-30-10841405-n	n	99.0	None	------
Beijingo_gizaki	1	eus-30-02473857-n	n	99.0	None	------
Belgika	1	eus-30-08849753-n	n	99.0	None	------
Belize	1	eus-30-08737521-n	n	99.0	None	------
Benghazi	1	eus-30-08960363-n	n	99.0	None	------
Berrezarkuntza	1	eus-30-01307606-n	n	99.0	None	------
Berri_itzel	1	eus-30-07298396-n	n	99.0	None	------
Bielorrusia	1	eus-30-09011151-n	n	99.0	None	------
Bigarren_Maila	1	eus-30-80000121-n	n	99.0	None	------
Bilbo	1	eus-30-80000035-n	n	99.0	None	------
Birmania	1	eus-30-08715390-n	n	99.0	None	------
Bolivia	1	eus-30-08852843-n	n	99.0	None	------
Boliviako	1	eus-30-09694664-n	n	99.0	None	------
Borboi	2	eus-30-09869578-n	n	99.0	None	------
Borboi	1	eus-30-08154012-n	n	99.0	None	------
Bordeleko_ardo	1	eus-30-07895237-n	n	99.0	None	------
Borgoina	1	eus-30-08941057-n	n	99.0	None	------
Borgoinako_ardo	1	eus-30-07893891-n	n	99.0	None	------
Brahma	1	eus-30-09524921-n	n	99.0	None	------
Brahms	2	eus-30-07278146-n	n	99.0	None	------
Brahms	1	eus-30-10862113-n	n	99.0	None	------
Brasil	1	eus-30-08853741-n	n	99.0	None	------
Brasilgo	1	eus-30-09694894-n	n	99.0	None	------
Bratwurst_saltxitxa	1	eus-30-07677982-n	n	99.0	None	------
Britainia_Handia	2	eus-30-08858942-n	n	99.0	None	------
Britainia_Handia	1	eus-30-08860123-n	n	99.0	None	------
Brontze_Aro	1	eus-30-15231415-n	n	99.0	None	------
Brusela_aza	1	eus-30-07719437-n	n	99.0	None	------
Btu	1	eus-30-13726947-n	n	99.0	None	------
Bulgaria	1	eus-30-08714132-n	n	99.0	None	------
Burdin_Aro	1	eus-30-15231765-n	n	99.0	None	------
Burgos	1	eus-30-80000044-n	n	99.0	None	------
Burgundia	1	eus-30-08941057-n	n	99.0	None	------
Burrhus_Frederic_Skinner	1	eus-30-10607706-n	n	99.0	None	------
C	2	eus-30-06902696-n	n	99.0	None	------
C	1	eus-30-13636648-n	n	99.0	None	------
CIA	1	eus-30-08124971-n	n	99.0	None	------
C_programazio-lengoaia	1	eus-30-06902696-n	n	99.0	None	------
Cabo_Verde	1	eus-30-08717915-n	n	99.0	None	------
Caceres	1	eus-30-80000056-n	n	99.0	None	------
Cancer	2	eus-30-08686658-n	n	99.0	None	------
Cancer	1	eus-30-09232687-n	n	99.0	None	------
Canis	1	eus-30-09232989-n	n	99.0	None	------
Caos	1	eus-30-09557770-n	n	99.0	None	------
Capricornus	1	eus-30-09235713-n	n	99.0	None	------
Carl_Friedrich_Gauss	1	eus-30-10992675-n	n	99.0	None	------
Carter	1	eus-30-10884831-n	n	99.0	None	------
Casanova	1	eus-30-10885994-n	n	99.0	None	------
Castelló_de_la_Plana	1	eus-30-80000058-n	n	80.0	None	------
Centaurus	1	eus-30-09240051-n	n	99.0	None	------
